Year,SERIES,Bioklimatski pojas,Pokrivenost zemljišta,UNIT_MEASURE,Value
2005,Indeks planinskog zelenog pokrivača,Ukupno,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.08
2010,Indeks planinskog zelenog pokrivača,Ukupno,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.08
2015,Indeks planinskog zelenog pokrivača,Ukupno,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.08
2018,Indeks planinskog zelenog pokrivača,Ukupno,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Procenat,0.08
2000,Indeks planinskog zelenog pokrivača,Ukupno,Unutrašnje vodene površine,Procenat,0.34
2005,Indeks planinskog zelenog pokrivača,Ukupno,Unutrašnje vodene površine,Procenat,0.34
2010,Indeks planinskog zelenog pokrivača,Ukupno,Unutrašnje vodene površine,Procenat,0.33
2015,Indeks planinskog zelenog pokrivača,Ukupno,Unutrašnje vodene površine,Procenat,0.33
2018,Indeks planinskog zelenog pokrivača,Ukupno,Unutrašnje vodene površine,Procenat,0.33
2000,Indeks planinskog zelenog pokrivača,Ukupno,Indeks zelenog pokrivača planine (MGCI),Procenat,99.23
2005,Indeks planinskog zelenog pokrivača,Ukupno,Indeks zelenog pokrivača planine (MGCI),Procenat,99.18
2010,Indeks planinskog zelenog pokrivača,Ukupno,Indeks zelenog pokrivača planine (MGCI),Procenat,99.13
2015,Indeks planinskog zelenog pokrivača,Ukupno,Indeks zelenog pokrivača planine (MGCI),Procenat,99.06
2018,Indeks planinskog zelenog pokrivača,Ukupno,Indeks zelenog pokrivača planine (MGCI),Procenat,99.05
2000,Indeks planinskog zelenog pokrivača,Ukupno,Površine prekrivene žbunjem,Procenat,1.12
2005,Indeks planinskog zelenog pokrivača,Ukupno,Površine prekrivene žbunjem,Procenat,1.11
2010,Indeks planinskog zelenog pokrivača,Ukupno,Površine prekrivene žbunjem,Procenat,1.11
2015,Indeks planinskog zelenog pokrivača,Ukupno,Površine prekrivene žbunjem,Procenat,1.11
2018,Indeks planinskog zelenog pokrivača,Ukupno,Površine prekrivene žbunjem,Procenat,1.11
2000,Indeks planinskog zelenog pokrivača,Ukupno,Površine sa rijetkom vegetacijom,Procenat,0.7
2005,Indeks planinskog zelenog pokrivača,Ukupno,Površine sa rijetkom vegetacijom,Procenat,0.7
2010,Indeks planinskog zelenog pokrivača,Ukupno,Površine sa rijetkom vegetacijom,Procenat,0.8
2015,Indeks planinskog zelenog pokrivača,Ukupno,Površine sa rijetkom vegetacijom,Procenat,0.8
2018,Indeks planinskog zelenog pokrivača,Ukupno,Površine sa rijetkom vegetacijom,Procenat,0.8
2000,Indeks planinskog zelenog pokrivača,Ukupno,Neplodna zemlja,Procenat,0.03
2005,Indeks planinskog zelenog pokrivača,Ukupno,Neplodna zemlja,Procenat,0.03
2010,Indeks planinskog zelenog pokrivača,Ukupno,Neplodna zemlja,Procenat,0.03
2015,Indeks planinskog zelenog pokrivača,Ukupno,Neplodna zemlja,Procenat,0.03
2018,Indeks planinskog zelenog pokrivača,Ukupno,Neplodna zemlja,Procenat,0.03
2000,Indeks planinskog zelenog pokrivača,Ukupno,Područja pokrivena drvećem,Procenat,66.08
2005,Indeks planinskog zelenog pokrivača,Ukupno,Područja pokrivena drvećem,Procenat,66.53
2010,Indeks planinskog zelenog pokrivača,Ukupno,Područja pokrivena drvećem,Procenat,67.69
2015,Indeks planinskog zelenog pokrivača,Ukupno,Područja pokrivena drvećem,Procenat,67.94
2018,Indeks planinskog zelenog pokrivača,Ukupno,Područja pokrivena drvećem,Procenat,67.71
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Vještačke površine,Kvadratnih kilometara,144.0
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Vještačke površine,Kvadratnih kilometara,163.86
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Vještačke površine,Kvadratnih kilometara,188.28
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Vještačke površine,Kvadratnih kilometara,191.99
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Usjevi,Kvadratnih kilometara,6950.25
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Usjevi,Kvadratnih kilometara,6511.69
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Usjevi,Kvadratnih kilometara,6432.99
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Usjevi,Kvadratnih kilometara,6494.72
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Trajni snijeg i glečeri,Kvadratnih kilometara,0.0
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Trajni snijeg i glečeri,Kvadratnih kilometara,0.0
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Trajni snijeg i glečeri,Kvadratnih kilometara,0.0
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Trajni snijeg i glečeri,Kvadratnih kilometara,0.0
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Travnate površine,Kvadratnih kilometara,5013.66
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Travnate površine,Kvadratnih kilometara,4990.11
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Travnate površine,Kvadratnih kilometara,4950.42
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Travnate površine,Kvadratnih kilometara,4969.21
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Kvadratnih kilometara,31.34
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Kvadratnih kilometara,30.79
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Kvadratnih kilometara,30.24
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,"Grmlje i/ili zeljasta vegetacija, vodena ili redovno plavljena područja",Kvadratnih kilometara,30.31
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Unutrašnje vodene površine,Kvadratnih kilometara,127.84
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Unutrašnje vodene površine,Kvadratnih kilometara,127.08
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Unutrašnje vodene površine,Kvadratnih kilometara,127.08
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Unutrašnje vodene površine,Kvadratnih kilometara,127.08
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Indeks zelenog pokrivača planine (MGCI),Kvadratnih kilometara,37718.79
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Indeks zelenog pokrivača planine (MGCI),Kvadratnih kilometara,37696.82
