Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2020,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.504
2021,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.523
2022,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.484
2023,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.418
2006,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.40624
2007,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.40485
2008,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.4219
2009,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.4341
2010,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.43634
2011,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.49381
2012,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.46067
2013,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.44718
2014,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.3944
2015,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.38076
2016,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.42053
2017,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.41305
2018,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.39604
2019,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.35931
2020,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.3662
2021,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.34399
2022,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.32844
2023,Emisije ugljen-dioksida po jedinici BDP-a (kilogrami CO2 po konstanti u američkim dolarima iz 2021.),Kilogrami po konstanti američkog dolara,,0.29842
