Year,SERIES,UNIT_MEASURE,Врста производа,Value
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Угаљ,0.86324
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Угаљ,0.87603
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Угаљ,0.87616
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Угаљ,0.79656
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Угаљ,0.81251
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Угаљ,0.73197
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Остаци усјева,0.06876
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Остаци усјева,0.09771
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Остаци усјева,0.0643
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Остаци усјева,0.09707
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Остаци усјева,0.09059
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Остаци усјева,0.1091
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Остаци усјева,0.07081
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Усјеви,0.20085
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Усјеви,0.23515
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Усјеви,0.18356
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Усјеви,0.22476
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Усјеви,0.20695
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Усјеви,0.23661
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Усјеви,0.17434
