Year,SERIES,Биоклиматски појас,Покривеност земљишта,UNIT_MEASURE,Value
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине прекривене жбуњем,Проценат,37.03
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине прекривене жбуњем,Проценат,37.03
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине са ријетком вегетацијом,Проценат,22.45
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине са ријетком вегетацијом,Проценат,22.45
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине са ријетком вегетацијом,Проценат,27.88
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине са ријетком вегетацијом,Проценат,30.11
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине са ријетком вегетацијом,Проценат,30.11
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине са ријетком вегетацијом,Проценат,30.11
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,Неплодна земља,Проценат,0.0
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,Неплодна земља,Проценат,0.0
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,Неплодна земља,Проценат,0.0
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,Неплодна земља,Проценат,0.0
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,Неплодна земља,Проценат,0.0
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,Неплодна земља,Проценат,0.0
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,Подручја покривена дрвећем,Проценат,18.99
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,Подручја покривена дрвећем,Проценат,22.86
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,Подручја покривена дрвећем,Проценат,22.31
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,Подручја покривена дрвећем,Проценат,21.07
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,Подручја покривена дрвећем,Проценат,21.07
2000,Индекс планинског зеленог покривача,Укупно,Вјештачке површине,Проценат,0.83
2005,Индекс планинског зеленог покривача,Укупно,Вјештачке површине,Проценат,0.91
2010,Индекс планинског зеленог покривача,Укупно,Вјештачке површине,Проценат,0.94
2015,Индекс планинског зеленог покривача,Укупно,Вјештачке површине,Проценат,0.95
2018,Индекс планинског зеленог покривача,Укупно,Вјештачке површине,Проценат,0.96
2021,Индекс планинског зеленог покривача,Укупно,Вјештачке површине,Проценат,0.97
2000,Индекс планинског зеленог покривача,Укупно,Усјеви,Проценат,30.27
2005,Индекс планинског зеленог покривача,Укупно,Усјеви,Проценат,28.32
2010,Индекс планинског зеленог покривача,Укупно,Усјеви,Проценат,26.56
2015,Индекс планинског зеленог покривача,Укупно,Усјеви,Проценат,25.88
2018,Индекс планинског зеленог покривача,Укупно,Усјеви,Проценат,25.86
2021,Индекс планинског зеленог покривача,Укупно,Усјеви,Проценат,25.85
2000,Индекс планинског зеленог покривача,Укупно,Трајни снијег и глечери,Проценат,0.0
2005,Индекс планинског зеленог покривача,Укупно,Трајни снијег и глечери,Проценат,0.0
2010,Индекс планинског зеленог покривача,Укупно,Трајни снијег и глечери,Проценат,0.0
2015,Индекс планинског зеленог покривача,Укупно,Трајни снијег и глечери,Проценат,0.0
2018,Индекс планинског зеленог покривача,Укупно,Трајни снијег и глечери,Проценат,0.0
2021,Индекс планинског зеленог покривача,Укупно,Трајни снијег и глечери,Проценат,0.0
2000,Индекс планинског зеленог покривача,Укупно,Травнате површине,Проценат,7.23
2005,Индекс планинског зеленог покривача,Укупно,Травнате површине,Проценат,8.38
2010,Индекс планинског зеленог покривача,Укупно,Травнате површине,Проценат,8.21
2015,Индекс планинског зеленог покривача,Укупно,Травнате површине,Проценат,8.03
2018,Индекс планинског зеленог покривача,Укупно,Травнате површине,Проценат,8.04
2021,Индекс планинског зеленог покривача,Укупно,Травнате површине,Проценат,8.05
2000,Индекс планинског зеленог покривача,Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2005,Индекс планинског зеленог покривача,Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2010,Индекс планинског зеленог покривача,Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2015,Индекс планинског зеленог покривача,Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2018,Индекс планинског зеленог покривача,Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2021,Индекс планинског зеленог покривача,Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2000,Индекс планинског зеленог покривача,Укупно,Унутрашње водене површине,Проценат,0.49
2005,Индекс планинског зеленог покривача,Укупно,Унутрашње водене површине,Проценат,0.47
2010,Индекс планинског зеленог покривача,Укупно,Унутрашње водене површине,Проценат,0.46
2015,Индекс планинског зеленог покривача,Укупно,Унутрашње водене површине,Проценат,0.46
2018,Индекс планинског зеленог покривача,Укупно,Унутрашње водене површине,Проценат,0.46
2021,Индекс планинског зеленог покривача,Укупно,Унутрашње водене површине,Проценат,0.47
2000,Индекс планинског зеленог покривача,Укупно,Индекс зеленог покривача планине(MGCI),Проценат,96.91
2005,Индекс планинског зеленог покривача,Укупно,Индекс зеленог покривача планине(MGCI),Проценат,96.74
2010,Индекс планинског зеленог покривача,Укупно,Индекс зеленог покривача планине(MGCI),Проценат,96.32
2015,Индекс планинског зеленог покривача,Укупно,Индекс зеленог покривача планине(MGCI),Проценат,96.11
2018,Индекс планинског зеленог покривача,Укупно,Индекс зеленог покривача планине(MGCI),Проценат,96.08
2021,Индекс планинског зеленог покривача,Укупно,Индекс зеленог покривача планине(MGCI),Проценат,96.05
2000,Индекс планинског зеленог покривача,Укупно,Површине прекривене жбуњем,Проценат,2.12
2005,Индекс планинског зеленог покривача,Укупно,Површине прекривене жбуњем,Проценат,2.36
2010,Индекс планинског зеленог покривача,Укупно,Површине прекривене жбуњем,Проценат,4.48
2015,Индекс планинског зеленог покривача,Укупно,Површине прекривене жбуњем,Проценат,5.48
2018,Индекс планинског зеленог покривача,Укупно,Површине прекривене жбуњем,Проценат,5.48
2021,Индекс планинског зеленог покривача,Укупно,Површине прекривене жбуњем,Проценат,5.48
2000,Индекс планинског зеленог покривача,Укупно,Површине са ријетком вегетацијом,Проценат,1.6
2005,Индекс планинског зеленог покривача,Укупно,Површине са ријетком вегетацијом,Проценат,1.7
2010,Индекс планинског зеленог покривача,Укупно,Површине са ријетком вегетацијом,Проценат,2.1
2015,Индекс планинског зеленог покривача,Укупно,Површине са ријетком вегетацијом,Проценат,2.3
2018,Индекс планинског зеленог покривача,Укупно,Површине са ријетком вегетацијом,Проценат,2.32
2021,Индекс планинског зеленог покривача,Укупно,Површине са ријетком вегетацијом,Проценат,2.34
2000,Индекс планинског зеленог покривача,Укупно,Неплодна земља,Проценат,0.17
2005,Индекс планинског зеленог покривача,Укупно,Неплодна земља,Проценат,0.2
2010,Индекс планинског зеленог покривача,Укупно,Неплодна земља,Проценат,0.18
2015,Индекс планинског зеленог покривача,Укупно,Неплодна земља,Проценат,0.17
2018,Индекс планинског зеленог покривача,Укупно,Неплодна земља,Проценат,0.17
2021,Индекс планинског зеленог покривача,Укупно,Неплодна земља,Проценат,0.17
2000,Индекс планинског зеленог покривача,Укупно,Подручја покривена дрвећем,Проценат,57.24
2005,Индекс планинског зеленог покривача,Укупно,Подручја покривена дрвећем,Проценат,57.61
2010,Индекс планинског зеленог покривача,Укупно,Подручја покривена дрвећем,Проценат,57.01
2015,Индекс планинског зеленог покривача,Укупно,Подручја покривена дрвећем,Проценат,56.56
2018,Индекс планинског зеленог покривача,Укупно,Подручја покривена дрвећем,Проценат,56.63
2021,Индекс планинског зеленог покривача,Укупно,Подручја покривена дрвећем,Проценат,56.61
