Year,SERIES,UNIT_MEASURE,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,SEX,URBANISATION,Value
2000,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,U,69.47
2006,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,U,72.78
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,_T,U,96.939
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,F,U,97.21922
2012,SE_TOT_CPLR,PT,ISCED11_3,_T,M,U,96.69978
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,_T,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,F,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q1,M,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,_T,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,F,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q2,M,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,_T,U,98.50816
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,F,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q3,M,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,_T,U,96.79177 
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,F,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q4,M,U,0
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,_T,U,97.66034
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,F,U,97.25491 
2012,SE_TOT_CPLR,PT,ISCED11_3,Q5,M,U,97.99669
