Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2010,SH_DYN_IMRTN,NUMBER,<1Y,F,96
2011,SH_DYN_IMRTN,NUMBER,<1Y,F,89
2012,SH_DYN_IMRTN,NUMBER,<1Y,F,84
2013,SH_DYN_IMRTN,NUMBER,<1Y,F,82
2014,SH_DYN_IMRTN,NUMBER,<1Y,F,79
2015,SH_DYN_IMRTN,NUMBER,<1Y,F,78
2016,SH_DYN_IMRTN,NUMBER,<1Y,F,78
2017,SH_DYN_IMRTN,NUMBER,<1Y,F,77
2018,SH_DYN_IMRTN,NUMBER,<1Y,F,78
2019,SH_DYN_IMRTN,NUMBER,<1Y,F,76
2020,SH_DYN_IMRTN,NUMBER,<1Y,F,72
2021,SH_DYN_IMRTN,NUMBER,<1Y,F,67
2022,SH_DYN_IMRTN,NUMBER,<1Y,F,62
2023,SH_DYN_IMRTN,NUMBER,<1Y,F,58
2024,SH_DYN_IMRTN,NUMBER,<1Y,F,60
2000,SH_DYN_IMRTN,NUMBER,<1Y,M,205
2001,SH_DYN_IMRTN,NUMBER,<1Y,M,186
2002,SH_DYN_IMRTN,NUMBER,<1Y,M,174
2003,SH_DYN_IMRTN,NUMBER,<1Y,M,166
2004,SH_DYN_IMRTN,NUMBER,<1Y,M,159
2005,SH_DYN_IMRTN,NUMBER,<1Y,M,149
2006,SH_DYN_IMRTN,NUMBER,<1Y,M,141
2007,SH_DYN_IMRTN,NUMBER,<1Y,M,135
2008,SH_DYN_IMRTN,NUMBER,<1Y,M,130
2009,SH_DYN_IMRTN,NUMBER,<1Y,M,128
2010,SH_DYN_IMRTN,NUMBER,<1Y,M,124
2011,SH_DYN_IMRTN,NUMBER,<1Y,M,115
2012,SH_DYN_IMRTN,NUMBER,<1Y,M,109
2013,SH_DYN_IMRTN,NUMBER,<1Y,M,105
2014,SH_DYN_IMRTN,NUMBER,<1Y,M,101
2015,SH_DYN_IMRTN,NUMBER,<1Y,M,99
2016,SH_DYN_IMRTN,NUMBER,<1Y,M,98
2017,SH_DYN_IMRTN,NUMBER,<1Y,M,98
2018,SH_DYN_IMRTN,NUMBER,<1Y,M,98
2019,SH_DYN_IMRTN,NUMBER,<1Y,M,96
2020,SH_DYN_IMRTN,NUMBER,<1Y,M,91
2021,SH_DYN_IMRTN,NUMBER,<1Y,M,84
2022,SH_DYN_IMRTN,NUMBER,<1Y,M,79
2023,SH_DYN_IMRTN,NUMBER,<1Y,M,74
2024,SH_DYN_IMRTN,NUMBER,<1Y,M,74
2010,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,6.0
2015,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,5.9
2016,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,5.9
2017,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,6.0
2018,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,5.9
2019,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,5.9
2020,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,5.8
2021,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,5.7
2022,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,5.5
2023,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,5.3
2024,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,_T,5.5
2010,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.4
2015,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.4
2016,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.4
2017,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.4
2018,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.4
2019,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.4
2020,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.3
2021,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.2
2022,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.0
2023,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,4.9
2024,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,F,5.0
2010,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,6.5
2015,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,6.4
2016,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,6.5
2017,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,6.5
2018,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,6.4
2019,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,6.4
2020,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,6.3
2021,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,6.1
2022,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,6.0
2023,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,5.8
2024,SH_DYN_IMRT,PER_1000_LIVE_BIRTHS,<1Y,M,5.9
2010,SH_DYN_MORTN,NUMBER,<5Y,_T,254
2015,SH_DYN_MORTN,NUMBER,<5Y,_T,204
2016,SH_DYN_MORTN,NUMBER,<5Y,_T,202
2017,SH_DYN_MORTN,NUMBER,<5Y,_T,201
2018,SH_DYN_MORTN,NUMBER,<5Y,_T,200
2019,SH_DYN_MORTN,NUMBER,<5Y,_T,196
2020,SH_DYN_MORTN,NUMBER,<5Y,_T,186
2021,SH_DYN_MORTN,NUMBER,<5Y,_T,173
2022,SH_DYN_MORTN,NUMBER,<5Y,_T,160
2023,SH_DYN_MORTN,NUMBER,<5Y,_T,151
2024,SH_DYN_MORTN,NUMBER,<5Y,_T,172
2010,SH_DYN_MORTN,NUMBER,<5Y,F,110
2015,SH_DYN_MORTN,NUMBER,<5Y,F,89
2016,SH_DYN_MORTN,NUMBER,<5Y,F,89
2017,SH_DYN_MORTN,NUMBER,<5Y,F,88
2018,SH_DYN_MORTN,NUMBER,<5Y,F,88
2019,SH_DYN_MORTN,NUMBER,<5Y,F,86
2020,SH_DYN_MORTN,NUMBER,<5Y,F,81
2021,SH_DYN_MORTN,NUMBER,<5Y,F,76
2022,SH_DYN_MORTN,NUMBER,<5Y,F,70
2023,SH_DYN_MORTN,NUMBER,<5Y,F,66
2024,SH_DYN_MORTN,NUMBER,<5Y,F,77
2010,SH_DYN_MORTN,NUMBER,<5Y,M,144
2015,SH_DYN_MORTN,NUMBER,<5Y,M,115
2016,SH_DYN_MORTN,NUMBER,<5Y,M,113
2017,SH_DYN_MORTN,NUMBER,<5Y,M,113
2018,SH_DYN_MORTN,NUMBER,<5Y,M,112
2019,SH_DYN_MORTN,NUMBER,<5Y,M,110
2020,SH_DYN_MORTN,NUMBER,<5Y,M,105
2021,SH_DYN_MORTN,NUMBER,<5Y,M,97
2022,SH_DYN_MORTN,NUMBER,<5Y,M,90
2023,SH_DYN_MORTN,NUMBER,<5Y,M,85
2024,SH_DYN_MORTN,NUMBER,<5Y,M,95
2010,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.8
2015,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.7
2016,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.8
2017,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.8
2018,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.8
2019,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.7
2020,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.6
2021,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.4
2022,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.2
2023,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.0
2024,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,_T,6.9
2010,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,6.1
2015,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,6.1
2016,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,6.1
2017,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,6.2
2018,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,6.1
2019,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,6.1
2020,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,6.0
2021,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,5.8
2022,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,5.7
2023,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,5.5
2024,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,F,6.4
2010,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,7.5
2015,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,7.3
2016,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,7.4
2017,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,7.4
2018,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,7.4
2019,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,7.3
2020,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,7.1
2021,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,7.0
2022,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,6.8
2023,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,6.5
2024,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,<5Y,M,7.4
