Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,527.40382
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,556.832
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,577.00821
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,591.87131
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,628.21523
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,650.95753
2000,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2001,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2002,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2003,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2004,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2005,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2006,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2007,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
