Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2016,TM_TAX_DPRF,Postotak,Tekstil,5.07233
2017,TM_TAX_DPRF,Postotak,Tekstil,5.011
2018,TM_TAX_DPRF,Postotak,Tekstil,5.04916
2019,TM_TAX_DPRF,Postotak,Tekstil,5.08397
2020,TM_TAX_DPRF,Postotak,Tekstil,5.05066
2021,TM_TAX_DPRF,Postotak,Tekstil,5.05144
2022,TM_TAX_DPRF,Postotak,Tekstil,5.0437
2000,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,8.32327
2005,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.31583
2010,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.30725
2011,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.29839
2012,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.22189
2013,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.25902
2014,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.2616
2015,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.25815
2016,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.26362
2017,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.03696
2018,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.07876
2019,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.07797
2020,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.07872
2021,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.07622
2022,TM_TAX_DMFN,Postotak,Poljoprivredni proizvodi,5.04831
2000,TM_TAX_DMFN,Postotak,Bez podjele,3.27126
2005,TM_TAX_DMFN,Postotak,Bez podjele,3.09367
2010,TM_TAX_DMFN,Postotak,Bez podjele,2.71567
2011,TM_TAX_DMFN,Postotak,Bez podjele,2.70692
2012,TM_TAX_DMFN,Postotak,Bez podjele,2.88427
2013,TM_TAX_DMFN,Postotak,Bez podjele,2.73063
2014,TM_TAX_DMFN,Postotak,Bez podjele,2.89188
2015,TM_TAX_DMFN,Postotak,Bez podjele,2.79173
2016,TM_TAX_DMFN,Postotak,Bez podjele,2.77963
2017,TM_TAX_DMFN,Postotak,Bez podjele,2.88925
2018,TM_TAX_DMFN,Postotak,Bez podjele,2.81171
2019,TM_TAX_DMFN,Postotak,Bez podjele,2.76363
2020,TM_TAX_DMFN,Postotak,Bez podjele,2.7587
2021,TM_TAX_DMFN,Postotak,Bez podjele,2.76021
2022,TM_TAX_DMFN,Postotak,Bez podjele,2.73455
2000,TM_TAX_DMFN,Postotak,Oružje,1.89483
2005,TM_TAX_DMFN,Postotak,Oružje,1.88883
2010,TM_TAX_DMFN,Postotak,Oružje,1.93747
2011,TM_TAX_DMFN,Postotak,Oružje,1.92516
2012,TM_TAX_DMFN,Postotak,Oružje,1.92125
2013,TM_TAX_DMFN,Postotak,Oružje,1.92125
2014,TM_TAX_DMFN,Postotak,Oružje,1.92169
2015,TM_TAX_DMFN,Postotak,Oružje,1.9217
2016,TM_TAX_DMFN,Postotak,Oružje,1.92246
2017,TM_TAX_DMFN,Postotak,Oružje,1.91978
2018,TM_TAX_DMFN,Postotak,Oružje,1.92163
2019,TM_TAX_DMFN,Postotak,Oružje,1.92163
2020,TM_TAX_DMFN,Postotak,Oružje,1.92163
2021,TM_TAX_DMFN,Postotak,Oružje,1.92163
2022,TM_TAX_DMFN,Postotak,Oružje,1.92163
2000,TM_TAX_DMFN,Postotak,Odjeća,13.09122
2005,TM_TAX_DMFN,Postotak,Odjeća,12.00739
2010,TM_TAX_DMFN,Postotak,Odjeća,12.07104
2011,TM_TAX_DMFN,Postotak,Odjeća,12.02332
2012,TM_TAX_DMFN,Postotak,Odjeća,12.01758
2013,TM_TAX_DMFN,Postotak,Odjeća,12.02856
2014,TM_TAX_DMFN,Postotak,Odjeća,12.02713
2015,TM_TAX_DMFN,Postotak,Odjeća,11.94963
2016,TM_TAX_DMFN,Postotak,Odjeća,11.94564
2017,TM_TAX_DMFN,Postotak,Odjeća,11.79269
2018,TM_TAX_DMFN,Postotak,Odjeća,11.95809
2019,TM_TAX_DMFN,Postotak,Odjeća,11.96038
2020,TM_TAX_DMFN,Postotak,Odjeća,11.94887
2021,TM_TAX_DMFN,Postotak,Odjeća,11.9603
2022,TM_TAX_DMFN,Postotak,Odjeća,11.92886
2000,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.61536
2005,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.46985
2010,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.05345
2011,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.04646
2012,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.23445
2013,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.07578
2014,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.23988
2015,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.14283
2016,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.13123
2017,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.22498
2018,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.14806
2019,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.13133
2020,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.12783
2021,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.12874
2022,TM_TAX_DMFN,Postotak,Industrijski proizvodi,2.12874
2000,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.24362
2005,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.1243
2010,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2011,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2012,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2013,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2014,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2015,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2016,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2017,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2018,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2019,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2020,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2021,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2022,TM_TAX_DMFN,Postotak,Nafta ili ulje,0.0
2000,TM_TAX_DMFN,Postotak,Tekstil,7.77645
2005,TM_TAX_DMFN,Postotak,Tekstil,7.44452
2010,TM_TAX_DMFN,Postotak,Tekstil,7.45629
2011,TM_TAX_DMFN,Postotak,Tekstil,7.43306
2012,TM_TAX_DMFN,Postotak,Tekstil,6.90249
2013,TM_TAX_DMFN,Postotak,Tekstil,6.99648
2014,TM_TAX_DMFN,Postotak,Tekstil,6.92713
2015,TM_TAX_DMFN,Postotak,Tekstil,6.8678
2016,TM_TAX_DMFN,Postotak,Tekstil,6.87484
2017,TM_TAX_DMFN,Postotak,Tekstil,6.80223
2018,TM_TAX_DMFN,Postotak,Tekstil,6.81609
2019,TM_TAX_DMFN,Postotak,Tekstil,6.85082
2020,TM_TAX_DMFN,Postotak,Tekstil,6.79569
2021,TM_TAX_DMFN,Postotak,Tekstil,6.79629
2022,TM_TAX_DMFN,Postotak,Tekstil,6.79629
