Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2013,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,12.6
2014,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,11.5
2015,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,10.5
2016,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,9.7
2017,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,9.0
2018,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,8.5
2019,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,8.1
2020,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,7.8
2021,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,7.5
2022,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,7.4
2023,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,7.4
2024,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,7.5
2000,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,23.0
2001,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,24.2
2002,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,24.6
2003,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,24.6
2004,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,24.4
2005,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,24.4
2006,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,23.9
2007,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,23.0
2008,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,21.9¸
2009,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,20.7
2010,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,19.4
2011,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,18.0
2012,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,16.6
2013,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,15.2
2014,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,13.9
2015,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,12.7
2016,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,11.7
2017,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,10.9
2018,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,10.3
2019,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,9.8
2020,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,9.4
2021,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,9.1
2022,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,9.0
2023,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,8.9
2024,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Muškarci,9.0
2000,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,17.9
2001,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,19.2
2002,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,20.2
2003,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,21.1
2004,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,21.7
2005,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,22.1
2006,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,22.2
2007,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,21.9
2008,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,21.4
2009,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,20.8
2010,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,20.0
2011,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,19.2
2012,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,18.3
2013,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,17.3
2014,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,16.4
2015,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,15.5
2016,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,14.6
2017,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,13.9
2018,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,13.2
2019,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,12.7
2020,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,12.3
2021,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,12.2
2022,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,12.2
2023,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,12.5
2024,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Oba spola,13.0
2000,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,16.8
2001,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,18.1
2002,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,19.0
2003,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,19.9
2004,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,20.5
2005,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,20.9
2006,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,21.0
2007,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,20.7
2008,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,20.3
2009,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,19.7
2010,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,18.9
2011,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,18.1
2012,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,17.2
2013,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,16.3
2014,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,15.4
2015,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,14.5
2016,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,13.7
2017,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,13.0
2018,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,12.4
2019,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,11.9
2020,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,11.6
2021,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,11.4
2022,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,11.5
2023,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,11.7
2024,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Žene,12.2
2000,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,19.0
2001,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,20.3
2002,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,21.4
2003,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,22.3
2004,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,23.0
2005,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,23.4
2006,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,23.5
2007,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,23.2
2008,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,22.7
2009,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,22.0
2010,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,21.2
2011,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,20.3
2012,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,19.4
2013,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,18.4
2014,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,17.4
2015,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,16.4
2016,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,15.5
2017,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,14.7
2018,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,14.1
2019,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,13.5
2020,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,13.2
2021,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,13.0
2022,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,13.0
2023,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,13.3
2024,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,Muškarci,13.8
2000,Udio djece koja su umjereno ili ozbiljno iscrpljena,Postotak,Ispod 5 godina,,7.4
2006,Udio djece koja su umjereno ili ozbiljno iscrpljena,Postotak,Ispod 5 godina,,4.0
2012,Udio djece koja su umjereno ili ozbiljno iscrpljena,Postotak,Ispod 5 godina,,2.3
2000,Djeca umjereno ili ozbiljno iscrpljena (tisuće),Tisuće,Ispod 5 godina,,17.4
2006,Djeca umjereno ili ozbiljno iscrpljena (tisuće),Tisuće,Ispod 5 godina,,7.9
2012,Djeca umjereno ili ozbiljno iscrpljena (tisuće),Tisuće,Ispod 5 godina,,3.8
