Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2002,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.8
2003,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.7
2004,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.7
2005,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.7
2006,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.8
2007,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.6
2008,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.7
2009,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.8
2010,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.8
2011,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.9
2012,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,22.0
2013,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,22.1
2014,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,22.3
2015,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,22.5
2016,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,22.8
2017,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,23.0
2018,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,23.3
2019,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,23.7
2020,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,24.1
2021,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,24.6
2022,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,25.3
2023,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,26.0
2000,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,30.9
2001,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,30.4
2002,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,29.9
2003,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,29.5
2004,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,29.1
2005,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,28.7
2006,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,28.3
2007,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,27.9
2008,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,27.6
2009,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,27.3
2010,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,27.0
2011,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.8
2012,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.6
2013,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.5
2014,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.4
2015,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.3
2016,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.2
2017,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.1
2018,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.1
2019,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.0
2020,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.0
2021,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.0
2022,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.0
2023,"Udio žena u dobi od 15-49 godina s anemijom, trudnica (%)",Postotak,15 do 49 godina,Žene,26.0
