Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2011,SP_ACS_BSRVSAN,PT,R,92.21749
2012,SP_ACS_BSRVSAN,PT,R,92.19138
2013,SP_ACS_BSRVSAN,PT,R,92.16525
2014,SP_ACS_BSRVSAN,PT,R,92.1391
2015,SP_ACS_BSRVSAN,PT,R,92.1391
2016,SP_ACS_BSRVSAN,PT,R,92.1391
2017,SP_ACS_BSRVSAN,PT,R,92.1391
2018,SP_ACS_BSRVSAN,PT,R,92.1391
2000,SP_ACS_BSRVSAN,PT,U,98.47197
2001,SP_ACS_BSRVSAN,PT,U,98.51213
2002,SP_ACS_BSRVSAN,PT,U,98.55228
2003,SP_ACS_BSRVSAN,PT,U,98.59244
2004,SP_ACS_BSRVSAN,PT,U,98.6326
2005,SP_ACS_BSRVSAN,PT,U,98.65612
2006,SP_ACS_BSRVSAN,PT,U,98.67962
2007,SP_ACS_BSRVSAN,PT,U,98.70312
2008,SP_ACS_BSRVSAN,PT,U,98.72659
2009,SP_ACS_BSRVSAN,PT,U,98.75006
2010,SP_ACS_BSRVSAN,PT,U,98.77351
2011,SP_ACS_BSRVSAN,PT,U,98.79695
2012,SP_ACS_BSRVSAN,PT,U,98.82037
2013,SP_ACS_BSRVSAN,PT,U,98.84378
2014,SP_ACS_BSRVSAN,PT,U,98.86718
2015,SP_ACS_BSRVSAN,PT,U,98.86718
2016,SP_ACS_BSRVSAN,PT,U,98.86718
2017,SP_ACS_BSRVSAN,PT,U,98.86718
2018,SP_ACS_BSRVSAN,PT,U,98.86718
2019,SP_ACS_BSRVSAN,PT,U,98.86718
2020,SP_ACS_BSRVSAN,PT,U,98.86718
2021,SP_ACS_BSRVSAN,PT,U,98.86718
2022,SP_ACS_BSRVSAN,PT,U,98.86718
